message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,scam,Possible scam or unsafe content.,0.94,message_0243;message_0102;message_0101
msg_091,mute,scam,Possible scam or unsafe content.,0.71,message_0238;message_0320;message_0218
msg_090,digest,unknown,Useful but not urgent.,0.5,message_0339
msg_048,notify,personal,User actively participates in this group.,0.61,message_0151;message_0216;message_0190
msg_040,mute,unknown,User has muted this group.,0.55,message_0136;message_0158;message_0083
msg_075,notify,personal,User frequently responds to similar messages.,0.75,message_0206;message_0205;message_0293
msg_005,notify,personal,User frequently responds to similar messages.,0.61,message_0382;message_0065;message_0049
msg_104,mute,unknown,Similar messages are usually ignored.,0.55,message_0224;message_0383;message_0232
msg_069,mute,scam,Possible scam or unsafe content.,0.6,message_0193;message_0177;message_0194
msg_107,mute,scam,Possible scam or unsafe content.,0.76,message_0221;message_0053;message_0412
msg_070,mute,scam,Possible scam or unsafe content.,0.62,message_0369;message_0221
msg_003,notify,personal,User frequently responds to similar messages.,0.81,message_0400;message_0031;message_0267
msg_099,notify,personal,User frequently responds to similar messages.,0.55,message_0227;message_0222;message_0249
msg_008,digest,unknown,Useful but not urgent.,0.7,message_0296;message_0072;message_0071
msg_092,notify,personal,User frequently responds to similar messages.,0.73,message_0346;message_0345;message_0384
msg_060,mute,scam,Possible scam or unsafe content.,0.76,message_0284;message_0176;message_0375
msg_004,notify,event,Upcoming event may require attention.,0.85,message_0246;message_0245;message_0005
msg_030,mute,unknown,User has muted this group.,0.55,message_0115;message_0335;message_0050
msg_045,notify,personal,User frequently responds to similar messages.,0.55,message_0061;message_0062;message_0400
msg_052,mute,scam,Possible scam or unsafe content.,0.79,message_0207;message_0286;message_0159
msg_009,mute,scam,Possible scam or unsafe content.,0.6,message_0074;message_0185;message_0261
msg_071,digest,unknown,Useful but not urgent.,0.5,none
msg_016,mute,scam,Possible scam or unsafe content.,0.71,message_0024;message_0407;message_0251
msg_065,mute,scam,Possible scam or unsafe content.,0.89,message_0261;message_0260;message_0032
msg_038,mute,scam,Possible scam or unsafe content.,0.56,message_0131;message_0082;message_0343
msg_086,notify,personal,User frequently responds to similar messages.,0.75,none
msg_014,mute,unknown,Similar messages are usually ignored.,0.75,message_0258;message_0018;message_0017
msg_094,mute,scam,Possible scam or unsafe content.,0.78,message_0356;message_0204;message_0223
msg_029,notify,personal,User frequently responds to similar messages.,0.55,message_0113;message_0095;message_0332
msg_105,notify,urgent,Urgent personal communication.,0.61,message_0373;message_0233;message_0121
