message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,scam,Suspicious or scam-like message detected.,0.94,message_0243;message_0102;message_0101
msg_091,mute,scam,Suspicious or scam-like message detected.,0.83,message_0238;message_0381
msg_090,digest,unknown,Useful but not immediately important.,0.5,none
msg_048,notify,personal,User usually responds to similar messages.,0.61,message_0151;message_0152;message_0237
msg_040,notify,personal,Family conversations are prioritized.,0.55,message_0136;message_0135
msg_075,notify,personal,User usually responds to similar messages.,0.75,message_0206;message_0205
msg_005,notify,personal,User usually responds to similar messages.,0.61,message_0390;message_0401;message_0065
msg_104,mute,unknown,User frequently dismisses similar notifications.,0.55,message_0383;message_0232;message_0224
msg_069,mute,scam,Suspicious or scam-like message detected.,0.6,message_0177;message_0193;message_0194
msg_107,mute,scam,Suspicious or scam-like message detected.,0.62,message_0369;message_0235;message_0056
msg_070,mute,scam,Suspicious or scam-like message detected.,0.62,message_0369;message_0213;message_0195
msg_003,notify,personal,User usually responds to similar messages.,0.81,message_0400;message_0031;message_0267
msg_099,notify,personal,User usually responds to similar messages.,0.55,message_0227;message_0055;message_0362
msg_008,digest,unknown,Delivered during do-not-disturb hours.,0.7,message_0296;message_0072;message_0071
msg_092,mute,scam,Suspicious or scam-like message detected.,0.73,message_0346
msg_060,mute,scam,Suspicious or scam-like message detected.,0.68,message_0284;message_0176;message_0404
msg_004,notify,personal,User usually responds to similar messages.,0.8,message_0245;message_0005;message_0246
msg_030,mute,unknown,This group is muted by the user.,0.55,message_0115;message_0335;message_0050
msg_045,notify,personal,User usually responds to similar messages.,0.55,message_0146;message_0145
msg_052,mute,scam,Suspicious or scam-like message detected.,0.79,message_0207;message_0159;message_0208
msg_009,mute,scam,Suspicious or scam-like message detected.,0.6,message_0074;message_0073
msg_071,digest,unknown,Useful but not immediately important.,0.5,message_0198;message_0197
msg_016,mute,scam,Suspicious or scam-like message detected.,0.71,message_0024;message_0201;message_0087
msg_065,mute,scam,Suspicious or scam-like message detected.,0.77,message_0261;message_0260;message_0185
msg_038,mute,scam,Suspicious or scam-like message detected.,0.56,message_0131;message_0132
msg_086,notify,personal,User usually responds to similar messages.,0.75,message_0222
msg_014,mute,unknown,User frequently dismisses similar notifications.,0.75,message_0258;message_0018;message_0017
msg_094,mute,scam,Suspicious or scam-like message detected.,0.78,message_0356
msg_029,notify,personal,User usually responds to similar messages.,0.55,message_0390;message_0113;message_0401
msg_105,notify,personal,User usually responds to similar messages.,0.61,message_0373;message_0233
msg_002,notify,personal,User usually responds to similar messages.,0.68,message_0003;message_0059;message_0169
msg_010,mute,scam,Suspicious or scam-like message detected.,0.8,message_0011;message_0242;message_0075
msg_078,mute,scam,Suspicious or scam-like message detected.,0.73,message_0211;message_0212
msg_013,mute,promotion,Promotional content not relevant to this user.,0.61,message_0081;message_0082
msg_018,mute,scam,Suspicious or scam-like message detected.,0.63,message_0092;message_0091;message_0026
msg_044,mute,scam,Suspicious or scam-like message detected.,0.73,message_0036;message_0143;message_0144
msg_032,mute,scam,Suspicious or scam-like message detected.,0.65,message_0119;message_0285;message_0120
msg_106,notify,personal,User usually responds to similar messages.,0.61,message_0376;message_0234;message_0377
msg_006,notify,personal,User usually responds to similar messages.,0.61,message_0097;message_0067;message_0029
msg_109,notify,personal,User usually responds to similar messages.,0.55,message_0151;message_0152;message_0237
msg_108,mute,scam,Suspicious or scam-like message detected.,0.78,message_0094;message_0093;message_0236
msg_019,mute,scam,Suspicious or scam-like message detected.,0.66,message_0277;message_0094;message_0236
msg_088,mute,unknown,This group is muted by the user.,0.55,message_0050;message_0335;message_0224
msg_056,notify,personal,Family conversations are prioritized.,0.55,message_0168;message_0167;message_0226
msg_027,digest,unknown,Useful but not immediately important.,0.7,message_0272;message_0033;message_0007
msg_050,notify,personal,User usually responds to similar messages.,0.65,message_0279;message_0278;message_0155
msg_083,notify,personal,User usually responds to similar messages.,0.55,message_0219
msg_063,notify,personal,User usually responds to similar messages.,0.61,message_0182;message_0181
msg_033,mute,promotion,Promotional content not relevant to this user.,0.58,message_0121;message_0122;message_0280
msg_061,notify,personal,Family conversations are prioritized.,0.6,message_0177;message_0193;message_0042
msg_020,mute,scam,Suspicious or scam-like message detected.,0.73,message_0096;message_0095
msg_017,mute,scam,Suspicious or scam-like message detected.,0.71,message_0090;message_0089
msg_058,mute,scam,Suspicious or scam-like message detected.,0.55,message_0040;message_0039;message_0241
msg_026,mute,scam,Suspicious or scam-like message detected.,0.6,message_0032;message_0107
msg_047,notify,personal,User usually responds to similar messages.,0.61,message_0150;message_0149;message_0001
msg_046,mute,scam,Suspicious or scam-like message detected.,0.77,message_0148;message_0147
msg_042,notify,personal,User usually responds to similar messages.,0.61,message_0140;message_0058;message_0139
msg_079,mute,scam,Suspicious or scam-like message detected.,0.62,message_0213;message_0195;message_0023
msg_098,notify,personal,User usually responds to similar messages.,0.55,message_0226;message_0359;message_0054
msg_037,notify,personal,User usually responds to similar messages.,0.55,message_0001;message_0216;message_0130
msg_007,mute,scam,Suspicious or scam-like message detected.,0.6,message_0070;message_0069
msg_085,digest,unknown,Delivered during do-not-disturb hours.,0.5,message_0221
msg_001,notify,personal,User usually responds to similar messages.,0.55,message_0240;message_0057;message_0058
msg_021,mute,scam,Suspicious or scam-like message detected.,0.81,message_0098;message_0068;message_0030
msg_028,mute,promotion,Promotional content not relevant to this user.,0.72,message_0034;message_0402;message_0111
msg_012,notify,personal,User usually responds to similar messages.,0.6,message_0079;message_0247;message_0080
msg_064,mute,scam,Suspicious or scam-like message detected.,0.85,message_0024;message_0202;message_0184
msg_103,notify,personal,User usually responds to similar messages.,0.55,message_0382;message_0231;message_0065
msg_031,notify,personal,User usually responds to similar messages.,0.55,message_0249;message_0117;message_0118
msg_057,notify,personal,User usually responds to similar messages.,0.55,message_0059;message_0169;message_0003
msg_087,mute,scam,Suspicious or scam-like message detected.,0.65,message_0391;message_0223;message_0204
msg_067,notify,personal,User usually responds to similar messages.,0.63,message_0216;message_0130;message_0190
msg_039,notify,personal,User usually responds to similar messages.,0.61,message_0037;message_0209;message_0133
msg_082,mute,scam,Suspicious or scam-like message detected.,0.65,message_0218;message_0397;message_0380
msg_066,mute,promotion,Promotional content not relevant to this user.,0.78,message_0402;message_0257;message_0188
